"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2021","37.70","37.55","37.84","36.90","321.15K","-0.89%"
"Jul 16, 2021","38.04","39.28","40.10","37.97","516.90K","-2.49%"
"Jul 15, 2021","39.01","38.62","39.20","38.38","215.86K","0.70%"
"Jul 14, 2021","38.74","39.27","39.27","38.28","396.00K","-0.69%"
"Jul 13, 2021","39.01","38.48","39.31","37.99","419.06K","1.46%"
"Jul 12, 2021","38.45","37.59","38.47","37.33","362.12K","1.77%"
"Jul 09, 2021","37.78","37.82","37.92","37.50","171.33K","0.45%"
"Jul 08, 2021","37.61","37.38","37.92","37.24","280.34K","-0.82%"
"Jul 07, 2021","37.92","37.69","38.28","37.60","240.78K","0.13%"
"Jul 06, 2021","37.87","37.56","38.05","37.25","252.40K","1.31%"
"Jul 02, 2021","37.38","37.69","37.69","37.21","139.47K","-0.51%"
"Jul 01, 2021","37.57","37.76","37.82","37.10","275.35K","1.32%"
"Jun 30, 2021","37.08","37.60","37.60","37.00","339.44K","-1.41%"
"Jun 29, 2021","37.61","37.98","37.98","37.44","180.60K","-0.82%"
"Jun 28, 2021","37.92","39.22","39.37","37.69","300.13K","-2.67%"
"Jun 25, 2021","38.96","37.98","39.03","37.74","1.68M","2.80%"
"Jun 24, 2021","37.90","37.40","37.92","37.35","228.31K","1.88%"
"Jun 23, 2021","37.20","37.54","37.54","37.09","212.15K","-1.17%"
"Jun 22, 2021","37.64","37.33","37.75","37.02","118.51K","0.24%"
"Jun 21, 2021","37.55","37.23","37.76","37.09","427.46K","1.05%"
"Jun 18, 2021","37.16","36.96","37.32","36.54","452.34K","-0.35%"
"Jun 17, 2021","37.29","37.26","37.83","36.97","283.28K","-0.05%"
"Jun 16, 2021","37.31","37.10","37.54","36.81","150.19K","0.13%"
"Jun 15, 2021","37.26","37.77","38.23","37.25","455.57K","-1.30%"
"Jun 14, 2021","37.75","37.86","37.86","37.20","665.23K","0.24%"
"Jun 11, 2021","37.66","36.77","37.75","36.64","412.01K","2.42%"
"Jun 10, 2021","36.77","36.91","37.12","36.64","285.86K","-0.27%"
"Jun 09, 2021","36.87","37.52","37.94","36.78","690.49K","-1.50%"
"Jun 08, 2021","37.43","36.90","37.70","36.90","627.99K","1.44%"
"Jun 07, 2021","36.90","36.76","36.94","36.17","808.03K","0.35%"
"Jun 04, 2021","36.77","36.49","37.17","36.31","759.09K","0.77%"
"Jun 03, 2021","36.49","36.75","36.78","36.05","363.51K","-0.87%"
"Jun 02, 2021","36.81","37.52","37.82","36.64","354.30K","-1.68%"
"Jun 01, 2021","37.44","37.59","38.21","37.08","234.25K","0.16%"
"May 28, 2021","37.38","37.75","37.97","37.30","214.49K","-0.80%"
"May 27, 2021","37.68","38.25","38.25","37.67","374.27K","-0.66%"
"May 26, 2021","37.93","37.88","38.12","37.47","281.94K","0.18%"
"May 25, 2021","37.86","38.13","38.88","37.79","243.83K","-0.08%"
"May 24, 2021","37.89","38.12","38.26","37.72","240.32K","0.16%"
"May 21, 2021","37.83","37.56","38.16","37.16","299.28K","1.80%"
"May 20, 2021","37.16","37.05","37.64","36.91","259.31K","0.43%"
"May 19, 2021","37.00","36.37","37.25","36.24","617.90K","-0.30%"
"May 18, 2021","37.11","37.97","37.98","37.04","307.48K","-1.56%"
"May 17, 2021","37.70","38.19","38.20","37.35","358.67K","-2.10%"
"May 14, 2021","38.51","38.50","38.98","37.95","399.49K","0.89%"
"May 13, 2021","38.17","36.70","38.52","36.70","453.36K","4.20%"
"May 12, 2021","36.63","36.98","37.59","36.23","334.93K","-2.03%"
"May 11, 2021","37.39","37.63","38.18","37.20","243.86K","-2.88%"
"May 10, 2021","38.50","38.65","39.04","37.77","367.93K","-0.47%"
"May 07, 2021","38.68","38.35","39.14","38.35","235.47K","1.39%"
"May 06, 2021","38.15","37.98","38.35","37.25","462.87K","-1.04%"
"May 05, 2021","38.55","42.00","43.18","37.61","1.68M","-16.81%"
"May 04, 2021","46.34","47.60","48.00","46.27","262.41K","-3.82%"
"May 03, 2021","48.18","48.65","49.13","48.02","169.45K","-0.78%"
"Apr 30, 2021","48.56","49.22","49.39","48.53","209.84K","-2.14%"
"Apr 29, 2021","49.62","49.39","49.97","48.88","118.55K","-0.30%"
"Apr 28, 2021","49.77","49.24","49.97","49.01","126.80K","1.30%"
"Apr 27, 2021","49.13","49.69","49.69","48.90","130.57K","-0.73%"
"Apr 26, 2021","49.49","49.23","49.92","49.23","139.99K","0.79%"
"Apr 23, 2021","49.10","48.58","49.57","48.05","217.96K","1.55%"
"Apr 22, 2021","48.35","47.92","49.23","47.92","209.35K","1.17%"
"Apr 21, 2021","47.79","46.71","47.87","46.50","343.44K","2.25%"
"Apr 20, 2021","46.74","47.20","47.50","46.49","326.94K","-1.52%"
"Apr 19, 2021","47.46","48.30","48.30","47.12","411.00K","-1.80%"
"Apr 16, 2021","48.33","49.31","49.71","48.29","224.17K","-1.63%"
"Apr 15, 2021","49.13","48.23","49.40","48.23","306.40K","2.72%"
"Apr 14, 2021","47.83","47.13","48.09","46.73","155.51K","1.74%"
"Apr 13, 2021","47.01","46.13","47.34","45.52","322.25K","1.40%"
"Apr 12, 2021","46.36","46.19","46.65","45.60","320.80K","0.65%"
"Apr 09, 2021","46.06","45.29","46.17","44.80","207.68K","1.57%"
"Apr 08, 2021","45.35","45.50","45.52","44.99","208.09K","0.29%"
"Apr 07, 2021","45.22","46.00","46.15","45.06","138.64K","-1.99%"
"Apr 06, 2021","46.14","46.07","46.35","45.48","232.93K","-0.02%"
"Apr 05, 2021","46.15","46.38","46.69","45.58","196.44K","0.07%"
"Apr 01, 2021","46.12","45.49","46.30","45.31","525.78K","1.92%"
"Mar 31, 2021","45.25","45.56","46.50","44.94","361.22K","-0.90%"
"Mar 30, 2021","45.66","45.56","46.27","44.67","319.80K","-0.20%"
"Mar 29, 2021","45.75","46.51","47.41","45.38","235.38K","-1.97%"
"Mar 26, 2021","46.67","44.70","46.67","43.74","451.32K","5.21%"
"Mar 25, 2021","44.36","43.27","44.70","42.47","499.79K","1.70%"
"Mar 24, 2021","43.62","44.88","45.10","43.62","401.65K","-2.57%"
"Mar 23, 2021","44.77","45.35","45.78","44.64","377.55K","-1.88%"
"Mar 22, 2021","45.63","46.26","46.82","45.35","274.08K","-1.40%"
"Mar 19, 2021","46.28","45.75","46.93","45.30","661.06K","1.07%"
"Mar 18, 2021","45.79","46.84","46.84","45.79","176.25K","-2.26%"
"Mar 17, 2021","46.85","46.80","47.37","46.22","221.53K","-0.55%"
"Mar 16, 2021","47.11","47.70","48.03","46.85","144.44K","-1.24%"
"Mar 15, 2021","47.70","47.87","48.16","46.72","248.77K","-0.96%"
"Mar 12, 2021","48.16","48.46","49.08","47.82","261.89K","-1.09%"
"Mar 11, 2021","48.69","47.05","48.78","47.03","212.33K","4.91%"
"Mar 10, 2021","46.41","47.17","47.61","46.41","164.01K","-0.79%"
"Mar 09, 2021","46.78","47.47","48.70","46.78","203.45K","-0.93%"
"Mar 08, 2021","47.22","45.55","48.28","45.42","394.81K","3.55%"
"Mar 05, 2021","45.60","43.89","45.63","43.15","310.21K","5.07%"
"Mar 04, 2021","43.40","43.84","44.86","43.14","421.14K","-0.91%"
"Mar 03, 2021","43.80","44.50","44.50","43.64","274.62K","-1.33%"
"Mar 02, 2021","44.39","44.53","44.53","43.72","417.38K","-0.02%"
"Mar 01, 2021","44.40","45.54","45.61","44.19","396.13K","-1.07%"
"Feb 26, 2021","44.88","46.40","46.40","44.74","328.97K","-2.75%"
"Feb 25, 2021","46.15","46.73","47.73","46.14","231.31K","-1.22%"
"Feb 24, 2021","46.72","46.63","47.17","45.31","465.42K","0.58%"
"Feb 23, 2021","46.45","47.70","47.98","46.14","379.32K","-2.91%"
"Feb 22, 2021","47.84","48.12","49.62","47.67","376.13K","-1.14%"
"Feb 19, 2021","48.39","48.37","48.65","47.85","205.68K","0.50%"
"Feb 18, 2021","48.15","47.38","48.87","47.38","248.57K","1.24%"
"Feb 17, 2021","47.56","45.74","47.67","45.71","223.60K","3.31%"
"Feb 16, 2021","46.03","45.53","46.31","44.87","259.14K","0.64%"
"Feb 12, 2021","45.74","46.79","46.79","45.37","126.31K","-2.22%"
"Feb 11, 2021","46.78","47.26","47.47","46.02","248.21K","-0.93%"
"Feb 10, 2021","47.22","46.97","47.79","46.66","193.93K","0.64%"
"Feb 09, 2021","46.92","47.22","47.31","45.42","349.62K","-0.89%"
"Feb 08, 2021","47.34","47.53","49.44","47.04","279.30K","-0.04%"
"Feb 05, 2021","47.36","47.19","48.28","46.45","171.94K","0.72%"
"Feb 04, 2021","47.02","45.41","47.61","45.29","278.01K","3.61%"
"Feb 03, 2021","45.38","43.00","49.46","43.00","498.62K","-9.17%"
"Feb 02, 2021","49.96","49.68","49.96","48.76","300.65K","1.52%"
"Feb 01, 2021","49.21","48.23","49.52","47.80","169.94K","2.99%"
"Jan 29, 2021","47.78","48.38","48.93","46.99","600.79K","-1.75%"
"Jan 28, 2021","48.63","48.25","49.48","44.80","278.77K","2.34%"
"Jan 27, 2021","47.52","49.14","49.21","47.25","312.94K","-4.92%"
"Jan 26, 2021","49.98","51.27","51.27","49.72","188.26K","-1.73%"
"Jan 25, 2021","50.86","51.65","51.65","50.03","117.15K","-1.61%"
"Jan 22, 2021","51.69","51.98","52.42","50.81","210.06K","-0.90%"
"Jan 21, 2021","52.16","52.64","52.93","51.00","136.42K","-0.65%"
"Jan 20, 2021","52.50","53.07","53.68","52.19","178.09K","-0.40%"
"Jan 19, 2021","52.71","53.21","53.52","52.29","131.78K","0.23%"
"Jan 15, 2021","52.59","52.97","53.56","51.76","173.69K","-1.42%"
"Jan 14, 2021","53.35","53.93","55.09","53.04","165.43K","-0.60%"
"Jan 13, 2021","53.67","53.86","54.84","53.59","177.42K","-0.52%"
"Jan 12, 2021","53.95","54.61","54.96","53.17","156.88K","-0.81%"
"Jan 11, 2021","54.39","53.40","54.47","53.17","114.36K","0.98%"
"Jan 08, 2021","53.86","54.22","54.60","53.10","205.01K","0.17%"
"Jan 07, 2021","53.77","53.03","53.94","52.67","138.61K","1.99%"
"Jan 06, 2021","52.72","51.34","53.09","50.30","306.01K","3.13%"
"Jan 05, 2021","51.12","52.01","52.81","50.82","253.95K","-1.94%"
"Jan 04, 2021","52.13","53.06","53.79","50.72","331.69K","-1.16%"
"Dec 31, 2020","52.74","52.64","53.10","52.05","204.59K","0.21%"
"Dec 30, 2020","52.63","51.55","53.02","51.55","138.54K","1.82%"
"Dec 29, 2020","51.69","51.45","51.81","51.07","271.12K","0.47%"
"Dec 28, 2020","51.45","51.30","51.85","50.00","228.18K","1.34%"
"Dec 24, 2020","50.77","50.06","51.47","50.06","52.34K","1.52%"
"Dec 23, 2020","50.01","49.01","50.14","48.90","190.46K","2.67%"
"Dec 22, 2020","48.71","48.37","49.03","47.85","168.28K","0.87%"
"Dec 21, 2020","48.29","48.29","49.09","47.71","219.12K","-1.79%"
"Dec 18, 2020","49.17","50.55","51.51","49.00","716.45K","-2.38%"
"Dec 17, 2020","50.37","48.66","50.43","48.66","230.58K","3.49%"
"Dec 16, 2020","48.67","49.62","49.79","48.48","214.45K","-2.13%"
"Dec 15, 2020","49.73","50.25","50.44","49.26","186.41K","-0.74%"
"Dec 14, 2020","50.10","49.54","50.27","49.37","261.14K","1.68%"
"Dec 11, 2020","49.27","49.60","49.78","48.29","215.39K","-1.77%"
"Dec 10, 2020","50.16","49.88","50.66","49.24","161.52K","-0.22%"
"Dec 09, 2020","50.27","50.33","50.92","49.26","239.05K","0.60%"
"Dec 08, 2020","49.97","49.14","50.29","49.00","300.17K","1.07%"
"Dec 07, 2020","49.44","49.48","50.13","49.02","291.05K","-0.12%"
"Dec 04, 2020","49.50","47.68","49.74","47.68","198.53K","4.25%"
"Dec 03, 2020","47.48","46.79","47.86","46.79","186.80K","1.80%"
"Dec 02, 2020","46.64","46.50","46.85","46.00","297.28K","0.28%"
"Dec 01, 2020","46.51","46.16","46.73","45.36","193.95K","1.91%"
"Nov 30, 2020","45.64","46.47","46.47","45.22","241.96K","-2.04%"
"Nov 27, 2020","46.59","46.38","46.74","46.17","85.19K","0.50%"
"Nov 25, 2020","46.36","46.55","47.15","45.96","265.78K","-0.66%"
"Nov 24, 2020","46.67","45.55","46.79","45.22","308.58K","3.71%"
"Nov 23, 2020","45.00","45.00","45.64","43.90","269.18K","0.83%"
"Nov 20, 2020","44.63","43.81","44.84","43.68","228.11K","1.04%"
"Nov 19, 2020","44.17","43.89","44.33","43.24","157.84K","0.41%"
"Nov 18, 2020","43.99","44.23","44.66","43.76","234.52K","-0.34%"
"Nov 17, 2020","44.14","43.76","44.51","43.16","255.34K","0.05%"
"Nov 16, 2020","44.12","44.29","45.00","43.67","241.92K","0.73%"
"Nov 13, 2020","43.80","42.95","44.05","42.32","200.28K","2.48%"
"Nov 12, 2020","42.74","42.66","43.33","42.18","250.42K","-0.30%"
"Nov 11, 2020","42.87","43.31","43.31","42.09","262.18K","-0.21%"
"Nov 10, 2020","42.96","44.51","44.61","42.77","331.24K","-3.11%"
"Nov 09, 2020","44.34","43.38","46.64","43.32","388.42K","4.65%"
"Nov 06, 2020","42.37","43.74","43.98","40.93","227.01K","-2.75%"
"Nov 05, 2020","43.57","42.99","45.00","42.50","225.18K","2.52%"
"Nov 04, 2020","42.50","41.30","43.17","41.30","154.68K","1.43%"
"Nov 03, 2020","41.90","40.77","42.07","40.56","233.71K","4.36%"
"Nov 02, 2020","40.15","40.18","40.46","39.19","371.33K","1.08%"
"Oct 30, 2020","39.72","39.97","40.57","39.20","378.62K","-1.00%"
"Oct 29, 2020","40.12","39.71","40.47","39.70","251.96K","0.53%"
"Oct 28, 2020","39.91","40.10","40.52","39.68","416.11K","-2.78%"
"Oct 27, 2020","41.05","42.20","42.60","41.02","156.94K","-2.73%"
"Oct 26, 2020","42.20","42.10","42.62","41.35","156.07K","-0.99%"
