"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2021","3,453.96","3,476.42","3,482.00","3,434.00","3.28M","-0.94%"
"Jun 18, 2021","3,486.90","3,479.99","3,507.00","3,473.71","5.25M","-0.07%"
"Jun 17, 2021","3,489.24","3,404.29","3,497.20","3,404.29","5.14M","2.17%"
"Jun 16, 2021","3,415.25","3,392.88","3,425.63","3,363.69","4.20M","0.95%"
"Jun 15, 2021","3,383.13","3,383.88","3,396.73","3,363.68","2.43M","-0.02%"
"Jun 14, 2021","3,383.87","3,346.49","3,383.87","3,337.01","2.57M","1.11%"
"Jun 11, 2021","3,346.83","3,349.65","3,366.58","3,333.45","2.82M","-0.08%"
"Jun 10, 2021","3,349.65","3,284.95","3,350.69","3,284.95","3.48M","2.09%"
"Jun 09, 2021","3,281.15","3,277.00","3,297.21","3,271.60","2.46M","0.52%"
"Jun 08, 2021","3,264.11","3,222.72","3,279.00","3,218.05","3.42M","2.07%"
"Jun 07, 2021","3,198.01","3,197.33","3,206.87","3,173.20","2.22M","-0.26%"
"Jun 04, 2021","3,206.22","3,212.00","3,221.00","3,198.81","2.25M","0.60%"
"Jun 03, 2021","3,187.01","3,205.36","3,214.27","3,184.85","2.40M","-1.45%"
"Jun 02, 2021","3,233.99","3,220.88","3,235.00","3,208.53","2.01M","0.48%"
"Jun 01, 2021","3,218.65","3,243.50","3,250.98","3,209.06","2.31M","-0.14%"
"May 28, 2021","3,223.07","3,242.00","3,247.99","3,219.70","2.33M","-0.22%"
"May 27, 2021","3,230.11","3,257.00","3,259.66","3,230.11","2.56M","-1.07%"
"May 26, 2021","3,265.16","3,271.37","3,295.45","3,258.60","2.38M","0.19%"
"May 25, 2021","3,259.05","3,266.09","3,278.41","3,215.02","3.26M","0.43%"
"May 24, 2021","3,244.99","3,216.36","3,257.50","3,214.00","2.42M","1.31%"
"May 21, 2021","3,203.08","3,250.00","3,256.69","3,197.01","4.10M","-1.37%"
"May 20, 2021","3,247.68","3,245.00","3,259.49","3,236.33","2.63M","0.49%"
"May 19, 2021","3,231.80","3,195.45","3,233.88","3,184.00","2.68M","-0.01%"
"May 18, 2021","3,232.28","3,292.57","3,311.28","3,231.13","2.83M","-1.17%"
"May 17, 2021","3,270.39","3,248.15","3,290.00","3,235.50","3.72M","1.47%"
"May 14, 2021","3,222.90","3,185.56","3,228.86","3,183.00","3.33M","1.94%"
"May 13, 2021","3,161.47","3,186.24","3,199.68","3,133.58","3.36M","0.30%"
"May 12, 2021","3,151.94","3,189.33","3,206.10","3,133.95","4.94M","-2.23%"
"May 11, 2021","3,223.91","3,132.01","3,237.22","3,128.16","4.62M","1.05%"
"May 10, 2021","3,190.49","3,282.06","3,282.06","3,190.08","5.84M","-3.07%"
"May 07, 2021","3,291.61","3,319.09","3,330.89","3,289.07","4.71M","-0.45%"
"May 06, 2021","3,306.37","3,267.00","3,313.77","3,248.04","4.45M","1.10%"
"May 05, 2021","3,270.54","3,338.85","3,354.70","3,264.36","3.71M","-1.25%"
"May 04, 2021","3,311.87","3,356.19","3,367.98","3,272.13","5.44M","-2.20%"
"May 03, 2021","3,386.49","3,484.73","3,486.65","3,372.70","5.88M","-2.33%"
"Apr 30, 2021","3,467.42","3,525.12","3,554.00","3,462.50","7.01M","-0.11%"
"Apr 29, 2021","3,471.31","3,504.01","3,514.00","3,435.80","7.68M","0.37%"
"Apr 28, 2021","3,458.50","3,441.47","3,488.85","3,425.55","4.63M","1.20%"
"Apr 27, 2021","3,417.43","3,443.47","3,460.00","3,398.84","3.83M","0.25%"
"Apr 26, 2021","3,409.00","3,351.50","3,427.82","3,331.00","4.88M","2.04%"
"Apr 23, 2021","3,340.88","3,319.10","3,375.00","3,308.50","3.20M","0.96%"
"Apr 22, 2021","3,309.04","3,369.79","3,371.32","3,302.00","2.58M","-1.58%"
"Apr 21, 2021","3,362.02","3,321.80","3,362.39","3,306.00","2.21M","0.82%"
"Apr 20, 2021","3,334.69","3,372.03","3,381.31","3,316.37","2.62M","-1.11%"
"Apr 19, 2021","3,372.01","3,390.07","3,434.94","3,360.16","2.73M","-0.81%"
"Apr 16, 2021","3,399.44","3,380.00","3,406.80","3,355.59","3.19M","0.60%"
"Apr 15, 2021","3,379.09","3,370.01","3,396.00","3,353.90","3.23M","1.38%"
"Apr 14, 2021","3,333.00","3,400.00","3,403.27","3,326.00","3.15M","-1.97%"
"Apr 13, 2021","3,400.00","3,397.89","3,432.00","3,396.10","3.32M","0.61%"
"Apr 12, 2021","3,379.39","3,359.43","3,395.00","3,351.15","3.28M","0.21%"
"Apr 09, 2021","3,372.20","3,304.70","3,372.20","3,288.90","4.34M","2.21%"
"Apr 08, 2021","3,299.30","3,310.90","3,324.50","3,292.00","2.81M","0.61%"
